排名,股票代號,股票名稱,概念股,公司業務,入選理由,月營收年增率,月營收月增率,EPS 是否轉虧為盈,毛利率是否改善,法人是否上修目標價,股價是否仍在低位階,成交量是否溫和放大,雷達等級,風險說明,雷達強度,收盤價,當天成交量(張),市場,年月,月資料,revenue_month,market_date,日資料,資料版本,追蹤狀態,風險標籤,單月營收_千元,月營收金額
1,2536,宏普,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 367.4%，月增 9513.2%，符合低基期轉強預篩,+367.43%,+9513.20%,是,是,否,是,否,A,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,80.0,22.25,2371,上市,2026-05,2026-05 月營收,2026-05,2026-06-18,2026-06-18 收盤價/成交量,營收 2026-05｜行情 2026-06-18,研究觀察,一般觀察,4047444,40.47億元
2,8422,可寧衛*,綠能環保;循環經濟,再生能源、環保處理、循環經濟或節能相關公司。,營收年增 199.6%，月增 227.6%，符合低基期轉強預篩,+199.61%,+227.59%,是,是,否,是,否,A,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,80.0,28.15,6637,上市,2026-05,2026-05 月營收,2026-05,2026-06-18,2026-06-18 收盤價/成交量,營收 2026-05｜行情 2026-06-18,研究觀察,一般觀察,1272922,12.73億元
3,2539,櫻花建,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 418.9%，月增 43.0%，符合低基期轉強預篩,+418.93%,+42.97%,是,是,否,是,否,A,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,77.9,39.3,1087,上市,2026-05,2026-05 月營收,2026-05,2026-06-18,2026-06-18 收盤價/成交量,營收 2026-05｜行情 2026-06-18,研究觀察,一般觀察,2952505,29.53億元
4,2537,聯上發,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 128.5%，月增 145.9%，符合低基期轉強預篩,+128.49%,+145.91%,是,是,否,否,是,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,75.0,11.95,5119,上市,2026-05,2026-05 月營收,2026-05,2026-06-18,2026-06-18 收盤價/成交量,營收 2026-05｜行情 2026-06-18,研究觀察,一般觀察,71212,"7,121萬元"
5,2543,皇昌,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 86.1%，月增 15.6%，符合低基期轉強預篩,+86.14%,+15.57%,是,是,否,是,否,A-,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,66.2,45.15,1538,上市,2026-05,2026-05 月營收,2026-05,2026-06-18,2026-06-18 收盤價/成交量,營收 2026-05｜行情 2026-06-18,研究觀察,一般觀察,1548459,15.48億元
6,5534,長虹,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 452.6%，月增 132.1%，符合低基期轉強預篩,+452.59%,+132.13%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,83.4,1963,上市,2026-05,2026-05 月營收,2026-05,2026-06-18,2026-06-18 收盤價/成交量,營收 2026-05｜行情 2026-06-18,研究觀察,一般觀察,498821,4.99億元
7,8112,至上,電子通路;半導體通路,電子通路相關公司，需再追蹤產品組合與主要客戶。,營收年增 253.2%，月增 53.8%，符合低基期轉強預篩,+253.18%,+53.79%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,98.2,11633,上市,2026-05,2026-05 月營收,2026-05,2026-06-18,2026-06-18 收盤價/成交量,營收 2026-05｜行情 2026-06-18,研究觀察,一般觀察,53921149,539.21億元
8,5522,遠雄,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 191.6%，月增 182.2%，符合低基期轉強預篩,+191.64%,+182.24%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,74.6,1242,上市,2026-05,2026-05 月營收,2026-05,2026-06-18,2026-06-18 收盤價/成交量,營收 2026-05｜行情 2026-06-18,研究觀察,一般觀察,646613,6.47億元
9,3041,揚智,半導體;AI供應鏈;先進製程,半導體設計、製造、封測、材料或設備相關公司。,營收年增 97.9%，月增 45.3%，符合低基期轉強預篩,+97.94%,+45.28%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,63.1,28.35,10336,上市,2026-05,2026-05 月營收,2026-05,2026-06-18,2026-06-18 收盤價/成交量,營收 2026-05｜行情 2026-06-18,研究觀察,一般觀察,173813,1.74億元
10,1444,力麗,04,04相關公司，需再追蹤產品組合與主要客戶。,營收年增 81.0%，月增 72.0%，符合低基期轉強預篩,+81.02%,+72.05%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,60.3,7.01,1089,上市,2026-05,2026-05 月營收,2026-05,2026-06-18,2026-06-18 收盤價/成交量,營收 2026-05｜行情 2026-06-18,研究觀察,一般觀察,1072308,10.72億元
11,3022,威強電,AI伺服器;PC/NB;邊緣運算,PC、筆電、伺服器、AI伺服器或週邊設備相關公司。,營收年增 92.4%，月增 39.3%，符合低基期轉強預篩,+92.40%,+39.29%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,59.9,85.0,1079,上市,2026-05,2026-05 月營收,2026-05,2026-06-18,2026-06-18 收盤價/成交量,營收 2026-05｜行情 2026-06-18,研究觀察,觀察順位較後,888586,8.89億元
12,4967,十銓,半導體;AI供應鏈;先進製程,半導體設計、製造、封測、材料或設備相關公司。,營收年增 112.6%，月增 26.8%，符合低基期轉強預篩,+112.59%,+26.84%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,58.1,279.0,2787,上市,2026-05,2026-05 月營收,2026-05,2026-06-18,2026-06-18 收盤價/成交量,營收 2026-05｜行情 2026-06-18,研究觀察,觀察順位較後,2555598,25.56億元
13,2885,元大金,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 928.4%，月增 23.2%，符合低基期轉強預篩,+928.42%,+23.23%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,57.0,67.1,14544,上市,2026-05,2026-05 月營收,2026-05,2026-06-18,2026-06-18 收盤價/成交量,營收 2026-05｜行情 2026-06-18,研究觀察,觀察順位較後,21261028,212.61億元
